"Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","User_Score","Rating"
"Call of Duty: Modern Warfare 3","X360",2011,"Shooter","Activision",9.04,4.24,0.13,1.32,14.73,3.4,"M"
"Call of Duty: Black Ops","X360",2010,"Shooter","Activision",9.7,3.68,0.11,1.13,14.61,6.3,"M"
"Call of Duty: Black Ops II","PS3",2012,"Shooter","Activision",4.99,5.73,0.65,2.42,13.79,5.3,"M"
"Call of Duty: Black Ops II","X360",2012,"Shooter","Activision",8.25,4.24,0.07,1.12,13.67,4.8,"M"
"Call of Duty: Modern Warfare 2","X360",2009,"Shooter","Activision",8.52,3.59,0.08,1.28,13.47,6.3,"M"
"Call of Duty: Modern Warfare 3","PS3",2011,"Shooter","Activision",5.54,5.73,0.49,1.57,13.32,3.2,"M"
"Grand Theft Auto III","PS2",2001,"Action","Take-Two Interactive",6.99,4.51,0.3,1.3,13.1,8.5,"M"
"Super Smash Bros. Brawl","Wii",2008,"Fighting","Nintendo",6.62,2.55,2.66,1.01,12.84,8.9,"T"
"Mario Kart 7","3DS",2011,"Racing","Nintendo",5.03,4.02,2.69,0.91,12.66,8.2,"E"
"Call of Duty: Black Ops","PS3",2010,"Shooter","Activision",5.99,4.37,0.48,1.79,12.63,6.4,"M"
"Grand Theft Auto V","PS4",2014,"Action","Take-Two Interactive",3.96,6.31,0.38,1.97,12.61,8.3,"M"
"Animal Crossing: Wild World","DS",2005,"Simulation","Nintendo",2.5,3.45,5.33,0.86,12.13,8.7,"E"
"Halo 3","X360",2007,"Shooter","Microsoft Game Studios",7.97,2.81,0.13,1.21,12.12,7.8,"M"
"Gran Turismo 4","PS2",2004,"Racing","Sony Computer Entertainment",3.01,0.01,1.1,7.53,11.66,8.5,"E"
"Super Mario Galaxy","Wii",2007,"Platform","Nintendo",6.06,3.35,1.2,0.74,11.35,8.9,"E"
"Grand Theft Auto IV","X360",2008,"Action","Take-Two Interactive",6.76,3.07,0.14,1.03,11.01,7.9,"M"
"Gran Turismo","PS",1997,"Racing","Sony Computer Entertainment",4.02,3.87,2.54,0.52,10.95,8.7,"E"
"Super Mario 3D Land","3DS",2011,"Platform","Nintendo",4.89,3,2.14,0.78,10.81,8.4,"E"
"Gran Turismo 5","PS3",2010,"Racing","Sony Computer Entertainment",2.96,4.82,0.81,2.11,10.7,7.5,"E"
"Call of Duty: Modern Warfare 2","PS3",2009,"Shooter","Activision",4.99,3.64,0.38,1.6,10.6,6.3,"M"
"Grand Theft Auto IV","PS3",2008,"Action","Take-Two Interactive",4.76,3.69,0.44,1.61,10.5,7.5,"M"
"Call of Duty: Ghosts","X360",2013,"Shooter","Activision",6.73,2.56,0.04,0.91,10.25,2.6,"M"
"Just Dance 3","Wii",2011,"Misc","Ubisoft",5.95,3.11,0,1.06,10.12,7.8,"E10+"
"New Super Mario Bros. 2","3DS",2012,"Platform","Nintendo",3.66,3.14,2.47,0.63,9.9,7.2,"E"
"Halo: Reach","X360",2010,"Shooter","Microsoft Game Studios",7.04,1.95,0.08,0.79,9.86,7.9,"M"
"Final Fantasy VII","PS",1997,"Role-Playing","Sony Computer Entertainment",3.01,2.47,3.28,0.96,9.72,9.2,"T"
"Halo 4","X360",2012,"Shooter","Microsoft Game Studios",6.65,2.28,0.04,0.74,9.71,7,"M"
"Gran Turismo 2","PS",1999,"Racing","Sony Computer Entertainment",3.88,3.42,1.69,0.5,9.49,9,"T"
"Just Dance 2","Wii",2010,"Misc","Ubisoft",5.8,2.85,0.01,0.78,9.44,7.3,"E10+"
"Call of Duty: Ghosts","PS3",2013,"Shooter","Activision",4.1,3.63,0.38,1.25,9.36,2.6,"M"
"Call of Duty 4: Modern Warfare","X360",2007,"Shooter","Activision",5.93,2.36,0.13,0.9,9.31,8.4,"M"
"Animal Crossing: New Leaf","3DS",2012,"Simulation","Nintendo",2.03,2.36,4.39,0.39,9.16,8.7,"E"
"Mario Party DS","DS",2007,"Misc","Nintendo",4.4,1.85,1.98,0.68,8.91,7.8,"E"
"The Elder Scrolls V: Skyrim","X360",2011,"Role-Playing","Bethesda Softworks",5.05,2.79,0.1,0.85,8.79,8.4,"M"
"FIFA 16","PS4",2015,"Sports","Electronic Arts",1.12,6.12,0.06,1.28,8.57,4.3,"E"
"Halo 2","XB",2004,"Shooter","Microsoft Game Studios",6.82,1.53,0.05,0.08,8.49,8.2,"M"
"Wii Party","Wii",2010,"Misc","Nintendo",1.75,3.47,2.49,0.67,8.38,7.4,"E"
"Mario Party 8","Wii",2007,"Misc","Nintendo",3.74,2.24,1.58,0.7,8.27,6.3,"E"
"FIFA Soccer 13","PS3",2012,"Action","Electronic Arts",1.06,5.01,0.13,1.97,8.16,6.6,"E"
"Final Fantasy X","PS2",2001,"Role-Playing","Sony Computer Entertainment",2.91,2.07,2.73,0.33,8.05,8.7,"T"
"The Sims 3","PC",2009,"Simulation","Electronic Arts",0.99,6.42,0,0.6,8.01,7.6,"T"
"Final Fantasy VIII","PS",1999,"Role-Playing","SquareSoft",2.28,1.72,3.63,0.23,7.86,8.6,"T"
"Pokémon Platinum Version","DS",2008,"Role-Playing","Nintendo",2.76,1.72,2.69,0.54,7.72,8.5,"E"
"Grand Theft Auto: Liberty City Stories","PSP",2005,"Action","Take-Two Interactive",2.9,2.81,0.24,1.73,7.69,7.6,"M"
"Call of Duty: Advanced Warfare","PS4",2014,"Shooter","Activision",2.81,3.48,0.14,1.23,7.66,5.7,"M"
"FIFA 17","PS4",2016,"Sports","Electronic Arts",0.66,5.75,0.08,1.11,7.59,5,"E"
"Super Mario Galaxy 2","Wii",2010,"Platform","Nintendo",3.56,2.35,0.98,0.62,7.51,9.1,"E"
"Call of Duty: World at War","X360",2008,"Shooter","Activision",4.81,1.88,0,0.69,7.38,7.6,"M"
"Battlefield 3","X360",2011,"Shooter","Electronic Arts",4.46,2.11,0.06,0.69,7.32,7.4,"M"
"Need for Speed Underground","PS2",2003,"Racing","Electronic Arts",3.27,2.83,0.08,1.02,7.2,8.6,"E"
"Just Dance","Wii",2009,"Misc","Ubisoft",3.48,2.99,0,0.73,7.2,8,"E10+"
"Battlefield 3","PS3",2011,"Shooter","Electronic Arts",2.85,2.89,0.35,1.08,7.17,7.5,"M"
"Fallout 4","PS4",2015,"Role-Playing","Bethesda Softworks",2.53,3.27,0.24,1.13,7.16,6.5,"M"
"Tekken 3","PS",1998,"Fighting","Sony Computer Entertainment",3.27,2.22,1.4,0.29,7.16,9.1,"T"
"The Legend of Zelda: Twilight Princess","Wii",2006,"Action","Nintendo",3.74,2.14,0.6,0.68,7.15,9,"T"
"Crash Bandicoot 3: Warped","PS",1998,"Platform","Sony Computer Entertainment",3.68,1.75,1.42,0.28,7.13,8.9,"E"
"Mario Kart 8","WiiU",2014,"Racing","Nintendo",3.15,2.15,1.28,0.51,7.09,9.1,"E"
"Super Smash Bros. Melee","GC",2001,"Fighting","Nintendo",4.41,1.04,1.39,0.22,7.07,9.1,"T"
"Need for Speed Underground 2","PS2",2004,"Racing","Electronic Arts",2.71,3.02,0.08,1.09,6.9,8.6,"E"
"Medal of Honor: Frontline","PS2",2002,"Shooter","Electronic Arts",2.93,2.75,0.17,0.99,6.83,8.5,"T"
"Just Dance 4","Wii",2012,"Misc","Ubisoft",4.05,2.16,0,0.55,6.76,7.3,"E10+"
"Gears of War 2","X360",2008,"Shooter","Microsoft Game Studios",4.15,1.9,0.06,0.64,6.75,7.7,"M"
"Uncharted 3: Drake's Deception","PS3",2011,"Action","Sony Computer Entertainment",2.77,2.75,0.19,1.03,6.74,8.3,"T"
"Call of Duty 4: Modern Warfare","PS3",2007,"Shooter","Activision",3.11,2.26,0.28,1.03,6.68,8.4,"M"
"Uncharted 2: Among Thieves","PS3",2009,"Action","Sony Computer Entertainment",3.27,2.2,0.21,0.98,6.66,8.8,"T"
"Big Brain Academy","DS",2005,"Misc","Nintendo",1.66,2.75,1.6,0.62,6.62,7.4,"E"
"Red Dead Redemption","PS3",2010,"Action","Take-Two Interactive",2.79,2.53,0.17,0.99,6.49,8.8,"M"
"FIFA 14","PS3",2013,"Sports","Electronic Arts",0.78,4.24,0.07,1.37,6.47,4.3,"E"
"Assassin's Creed III","PS3",2012,"Action","Ubisoft",2.64,2.52,0.16,1.12,6.45,6.9,"M"
"Donkey Kong Country Returns","Wii",2010,"Platform","Nintendo",3.17,1.79,1.03,0.46,6.44,8.6,"E"
"Halo: Combat Evolved","XB",2001,"Shooter","Microsoft Game Studios",4.98,1.3,0.08,0.07,6.43,8.6,"M"
"The Elder Scrolls V: Skyrim","PS3",2011,"Role-Playing","Bethesda Softworks",2.55,2.6,0.25,1,6.41,6.4,"M"
"Pokémon Emerald Version","GBA",2004,"Role-Playing","Nintendo",2.57,1.58,2.06,0.21,6.41,9,"E"
"Kingdom Hearts","PS2",2002,"Role-Playing","Sony Computer Entertainment",3.64,1.2,1.49,0.07,6.4,8.8,"E"
"Halo 3: ODST","X360",2009,"Shooter","Microsoft Game Studios",4.34,1.34,0.06,0.61,6.34,7.1,"M"
"Red Dead Redemption","X360",2010,"Action","Take-Two Interactive",3.7,1.95,0.09,0.58,6.32,9,"M"
"Super Mario Sunshine","GC",2002,"Platform","Nintendo",4.01,1.26,0.87,0.17,6.31,8.6,"E"
"World of Warcraft","PC",2004,"Role-Playing","Activision",0.08,6.21,0,0,6.29,7.3,"T"
"Driver","PS",1999,"Action","GT Interactive",3.11,2.8,0.02,0.33,6.27,8.1,"T"
"Gears of War 3","X360",2011,"Shooter","Microsoft Game Studios",4.05,1.59,0.07,0.5,6.21,7.8,"M"
"Kinect Sports","X360",2010,"Sports","Microsoft Game Studios",3.92,1.73,0.03,0.51,6.19,7.4,"E10+"
"Gears of War","X360",2006,"Shooter","Microsoft Game Studios",3.54,1.88,0.07,0.6,6.09,8.3,"M"
"FIFA 15","PS4",2014,"Sports","Electronic Arts",0.8,4.33,0.05,0.9,6.08,5.7,"E"
"Metal Gear Solid 2: Sons of Liberty","PS2",2001,"Action","Konami Digital Entertainment",2.45,2.01,0.87,0.72,6.05,8.7,"M"
"Metal Gear Solid","PS",1998,"Action","Konami Digital Entertainment",3.18,1.83,0.78,0.24,6.03,9.4,"M"
"Metal Gear Solid 4: Guns of the Patriots","PS3",2008,"Action","Konami Digital Entertainment",2.63,1.71,0.83,0.82,5.99,8.7,"M"
"Final Fantasy XII","PS2",2006,"Role-Playing","Square Enix",1.88,0,2.33,1.74,5.95,7.6,"T"
"The Last of Us","PS3",2013,"Action","Sony Computer Entertainment Europe",2.41,2.18,0.28,0.99,5.87,9.1,"M"
"LittleBigPlanet","PS3",2008,"Platform","Sony Computer Entertainment",2.8,1.98,0.17,0.87,5.82,6.8,"E"
"Resident Evil 2","PS",1998,"Action","Virgin Interactive",1.88,1.47,2.02,0.45,5.82,9.2,"M"
"Dragon Quest IX: Sentinels of the Starry Skies","DS",2009,"Role-Playing","Nintendo",0.63,0.67,4.35,0.15,5.78,8.8,"E10+"
"Tekken 2","PS",1996,"Fighting","Sony Computer Entertainment",2.26,1.89,1.36,0.23,5.74,8.9,"T"
"Destiny","PS4",2014,"Shooter","Activision",2.49,2.07,0.16,0.92,5.64,6.1,"T"
"LEGO Star Wars: The Complete Saga","Wii",2007,"Action","LucasArts",3.57,1.55,0,0.51,5.64,8.9,"E10+"
"Cooking Mama","DS",2006,"Simulation","505 Games",3.07,1.91,0.07,0.57,5.63,7.2,"E"
"Assassin's Creed II","PS3",2009,"Action","Ubisoft",2.54,1.93,0.21,0.86,5.55,8.6,"M"
"Assassin's Creed","X360",2007,"Adventure","Ubisoft",3.28,1.64,0.07,0.56,5.54,7.7,"M"
"Forza Motorsport 3","X360",2009,"Racing","Microsoft Game Studios",2.99,1.9,0.1,0.5,5.49,8,"E"
"Super Mario Advance","GBA",2001,"Platform","Nintendo",3.14,1.24,0.91,0.2,5.49,7.8,"E"
"Monster Hunter Freedom Unite","PSP",2008,"Role-Playing","Capcom",0.47,0.55,4.13,0.34,5.48,8.7,"T"
"Batman: Arkham City","PS3",2011,"Action","Warner Bros. Interactive Entertainment",2.71,1.85,0.11,0.81,5.48,8.6,"T"
"Grand Theft Auto V","XOne",2014,"Action","Take-Two Interactive",2.81,2.19,0,0.47,5.48,7.9,"M"
"Mario Kart: Super Circuit","GBA",2001,"Racing","Nintendo",2.62,1.64,0.99,0.23,5.47,8.3,"E"
"Crash Bandicoot: The Wrath of Cortex","PS2",2001,"Platform","Universal Interactive",2.07,2.29,0.24,0.82,5.42,7.1,"E"
"Call of Duty: World at War","PS3",2008,"Shooter","Activision",2.73,1.83,0,0.83,5.39,7.6,"M"
"Uncharted 4: A Thief's End","PS4",2016,"Shooter","Sony Computer Entertainment",1.85,2.5,0.19,0.85,5.38,7.9,"T"
"Final Fantasy XIII","PS3",2009,"Role-Playing","Square Enix",1.74,1.21,1.87,0.51,5.33,7.3,"T"
"Final Fantasy IX","PS",2000,"Role-Playing","SquareSoft",1.62,0.77,2.78,0.14,5.3,8.9,"T"
"Assassin's Creed III","X360",2012,"Action","Ubisoft",3.13,1.69,0.03,0.44,5.29,6.7,"M"
"Final Fantasy X-2","PS2",2003,"Role-Playing","Electronic Arts",1.92,1.08,2.11,0.17,5.29,6.6,"T"
"Call of Duty: Advanced Warfare","XOne",2014,"Shooter","Activision",3.22,1.55,0.01,0.48,5.27,5.4,"M"
"Assassin's Creed II","X360",2009,"Action","Ubisoft",3.11,1.55,0.08,0.51,5.26,8.8,"M"
"New Super Mario Bros. U","WiiU",2012,"Platform","Nintendo",2.3,1.34,1.27,0.32,5.22,8.1,"E"
"Dragon Quest VIII: Journey of the Cursed King","PS2",2004,"Role-Playing","Square Enix",0.65,0.75,3.61,0.2,5.21,8.8,"T"
"Professor Layton and the Curious Village","DS",2007,"Puzzle","Nintendo",1.21,2.43,1.03,0.52,5.19,8.6,"E"
"FIFA Soccer 13","X360",2012,"Action","Electronic Arts",1.09,3.47,0.03,0.57,5.16,6.1,"E"
"Diablo III","PC",2012,"Role-Playing","Activision",2.44,2.16,0,0.54,5.14,4,"M"
"Medal of Honor: Rising Sun","PS2",2003,"Shooter","Electronic Arts",1.98,2.23,0.13,0.8,5.13,7.6,"T"
"Guitar Hero II","PS2",2006,"Misc","RedOctane",3.81,0.63,0,0.68,5.12,8.5,"T"
"Fable III","X360",2010,"Role-Playing","Microsoft Game Studios",3.59,1.08,0.05,0.38,5.1,6.5,"M"
"Resident Evil 5","PS3",2009,"Action","Capcom",1.96,1.41,1.08,0.64,5.09,7.5,"M"
"The Legend of Zelda: Phantom Hourglass","DS",2007,"Action","Nintendo",1.85,1.8,0.95,0.48,5.08,8,"E"
"FIFA Soccer 11","PS3",2010,"Sports","Electronic Arts",0.61,3.28,0.06,1.12,5.07,8,"E"
"Resident Evil","PS",1996,"Action","Virgin Interactive",2.05,1.16,1.11,0.73,5.05,9,"M"
"Grand Theft Auto: Vice City Stories","PSP",2006,"Action","Take-Two Interactive",1.7,1.99,0.16,1.18,5.03,8,"M"
"Tony Hawk's Pro Skater","PS",1999,"Sports","Activision",3.42,1.38,0.02,0.2,5.02,9.2,"T"
"Guitar Hero III: Legends of Rock","PS2",2007,"Misc","Activision",3.49,0.01,0.01,1.48,4.98,8.2,"T"
"Link's Crossbow Training","Wii",2007,"Shooter","Nintendo",3.05,1.17,0.29,0.46,4.98,7.1,"T"
"Fallout 3","X360",2008,"Role-Playing","Bethesda Softworks",3.4,0.99,0.09,0.45,4.93,8.5,"M"
"Uncharted: Drake's Fortune","PS3",2007,"Action","Sony Computer Entertainment",2.31,1.72,0.12,0.77,4.92,8.1,"T"
"Madden NFL 06","PS2",2005,"Sports","Electronic Arts",3.98,0.26,0.01,0.66,4.91,8,"E"
"StarCraft II: Wings of Liberty","PC",2010,"Strategy","Activision",2.57,1.68,0,0.58,4.84,8.2,"T"
"Assassin's Creed","PS3",2007,"Adventure","Ubisoft",1.91,2,0.09,0.82,4.82,7.3,"M"
"God of War III","PS3",2010,"Action","Sony Computer Entertainment",2.74,1.33,0.12,0.61,4.8,8.7,"M"
"Crash Team Racing","PS",1999,"Racing","Sony Computer Entertainment",2.57,1.57,0.44,0.21,4.79,9,"E"
"LEGO Star Wars: The Complete Saga","DS",2007,"Action","LucasArts",2.83,1.48,0,0.45,4.76,5.4,"E"
"Driver 2","PS",2000,"Action","Atari",2.36,2.1,0.02,0.25,4.73,7.7,"T"
"Batman: Arkham City","X360",2011,"Action","Warner Bros. Interactive Entertainment",2.99,1.27,0.04,0.42,4.73,8.7,"T"
"Tony Hawk's Pro Skater 2","PS",2000,"Sports","Activision",3.05,1.41,0.02,0.2,4.68,7.7,"T"
"The Lord of the Rings: The Two Towers","PS2",2002,"Action","Electronic Arts",1.94,1.95,0.08,0.7,4.67,8.2,"T"
"Tomb Raider","PS",1996,"Action","Eidos Interactive",2.29,1.97,0.13,0.24,4.63,8.6,"T"
"Animal Crossing: City Folk","Wii",2008,"Simulation","Nintendo",1.82,1.12,1.32,0.36,4.62,7.6,"E"
"Uncharted: The Nathan Drake Collection","PS4",2015,"Action","Sony Computer Entertainment",2.07,1.71,0.08,0.76,4.62,8.1,"T"
"The Legend of Zelda: The Wind Waker","GC",2002,"Action","Nintendo",2.6,0.99,0.89,0.13,4.6,8.9,"E"
"Guitar Hero III: Legends of Rock","Wii",2007,"Misc","Activision",3.04,1.11,0,0.43,4.6,8.4,"T"
"Luigi's Mansion: Dark Moon","3DS",2013,"Action","Nintendo",1.8,1.39,1.11,0.29,4.59,8.4,"E"
"Forza Motorsport 4","X360",2011,"Racing","Microsoft Game Studios",2.08,1.97,0.06,0.46,4.57,8.2,"E"
"Madden NFL 2005","PS2",2004,"Sports","Electronic Arts",4.18,0.26,0.01,0.08,4.53,7.9,"E"
"Guitar Hero III: Legends of Rock","X360",2007,"Misc","Activision",3.19,0.91,0.01,0.42,4.53,7.9,"T"
"Madden NFL 07","PS2",2006,"Sports","Electronic Arts",3.63,0.24,0.01,0.61,4.49,8.2,"E"
"Halo 5: Guardians","XOne",2015,"Shooter","Microsoft Game Studios",2.78,1.27,0.03,0.41,4.48,6.4,"T"
"Spider-Man: The Movie","PS2",2002,"Action","Activision",2.71,1.51,0.03,0.23,4.48,7.9,"E"
"Call of Duty: Infinite Warfare","PS4",2016,"Shooter","Activision",1.61,2,0.15,0.71,4.46,3.4,"M"
"God of War","PS2",2005,"Action","Sony Computer Entertainment",2.71,1.29,0.02,0.43,4.45,8.9,"M"
"Splatoon","WiiU",2015,"Shooter","Nintendo",1.54,1.18,1.46,0.26,4.43,8.5,"E10+"
"Nintendo Land","WiiU",2012,"Misc","Nintendo",2.52,1.11,0.46,0.33,4.42,7.9,"E10+"
"Tony Hawk's Pro Skater 3","PS2",2001,"Sports","Activision",2.66,1.29,0.01,0.46,4.41,7.5,"T"
"Winning Eleven: Pro Evolution Soccer 2007","PS2",2006,"Sports","Konami Digital Entertainment",0.1,2.39,1.05,0.86,4.39,8.9,"E"
"The Elder Scrolls IV: Oblivion","X360",2006,"Role-Playing","Take-Two Interactive",2.82,1.03,0.13,0.4,4.38,8.7,"M"
"Need for Speed: Most Wanted","PS2",2005,"Racing","Electronic Arts",2.03,1.79,0.08,0.47,4.37,9.1,"T"
"Michael Jackson: The Experience","Wii",2010,"Misc","Ubisoft",2.64,1.33,0.01,0.39,4.36,8.3,"E10+"
"Call of Duty: Advanced Warfare","PS3",2014,"Shooter","Activision",1.56,1.93,0.19,0.68,4.36,4.8,"M"
"Resistance: Fall of Man","PS3",2006,"Shooter","Sony Computer Entertainment",1.74,1.72,0.14,0.75,4.34,8.1,"M"
"Kingdom Hearts II","PS2",2005,"Role-Playing","Square Enix",2.2,0.58,1.38,0.17,4.33,9,"E10+"
"Super Mario 3D World","WiiU",2013,"Platform","Nintendo",2.11,1.16,0.73,0.32,4.32,9,"E"
"Call of Duty: Advanced Warfare","X360",2014,"Shooter","Activision",2.77,1.11,0,0.4,4.29,4.9,"M"
"FIFA 15","PS3",2014,"Sports","Electronic Arts",0.58,3.02,0.04,0.64,4.28,4.5,"E"
"Fable II","X360",2008,"Role-Playing","Microsoft Game Studios",2.51,1.24,0.11,0.41,4.27,6.5,"M"
"Namco Museum","GBA",2001,"Misc","Namco Bandai Games",3,1.11,0.05,0.07,4.24,7.3,"E"
"Batman: Arkham Asylum","PS3",2009,"Action","Eidos Interactive",2.24,1.31,0.07,0.61,4.23,8.9,"T"
"Metal Gear Solid 3: Snake Eater","PS2",2004,"Action","Konami Digital Entertainment",1.46,0,0.83,1.93,4.23,9.3,"M"
"Assassin's Creed: Revelations","PS3",2011,"Action","Ubisoft",1.41,2.01,0.1,0.7,4.22,7.5,"M"
"Fallout 4","XOne",2015,"Role-Playing","Bethesda Softworks",2.51,1.32,0.01,0.38,4.22,6.2,"M"
"FIFA 14","X360",2013,"Sports","Electronic Arts",0.92,2.89,0.01,0.4,4.22,4.2,"E"
"Daxter","PSP",2006,"Platform","Sony Computer Entertainment",2.45,1.01,0,0.75,4.21,8.7,"E10+"
"FIFA Soccer 06","PS2",2005,"Sports","Electronic Arts",0.78,2.55,0.04,0.84,4.21,7.8,"E"
"EyeToy Play","PS2",2003,"Misc","Sony Computer Entertainment",0.88,2.3,0.2,0.83,4.2,7.5,"E"
"Gran Turismo 5 Prologue","PS3",2007,"Racing","Sony Computer Entertainment",1.28,1.82,0.57,0.52,4.19,7.1,"E"
"Assassin's Creed: Revelations","X360",2011,"Action","Ubisoft",2.25,1.47,0.04,0.43,4.19,7.2,"M"
"Street Fighter IV","PS3",2009,"Fighting","Capcom",2.03,1.04,0.58,0.52,4.16,7.3,"T"
"Madden NFL 2003","PS2",2002,"Sports","Electronic Arts",3.36,0.21,0.01,0.56,4.14,7.7,"E"
"Half-Life","PC",1997,"Shooter","Vivendi Games",4.03,0,0.09,0,4.12,9.1,"M"
"World of Warcraft: The Burning Crusade","PC",2007,"Role-Playing","Activision",2.57,1.52,0,0,4.09,7.9,"T"
"Battlefield 1","PS4",2016,"Shooter","Electronic Arts",1.1,2.15,0.21,0.61,4.08,8.4,"M"
"God of War II","PS2",2007,"Action","Sony Computer Entertainment",2.32,0.04,0.04,1.67,4.07,8.9,"M"
"World Soccer Winning Eleven 9","PS2",2005,"Sports","Konami Digital Entertainment",0.12,2.26,0.9,0.77,4.06,8.2,"E"
"Fallout: New Vegas","X360",2010,"Role-Playing","Bethesda Softworks",2.66,1.03,0.04,0.33,4.05,8.1,"M"
"Forza Motorsport 2","X360",2007,"Racing","Microsoft Game Studios",2.35,1.27,0.03,0.41,4.05,8.3,"E"
"Carnival Games","Wii",2007,"Misc","Take-Two Interactive",2.12,1.47,0.05,0.42,4.05,6,"E"
"Watch Dogs","PS4",2014,"Action","Ubisoft",1.4,1.9,0.11,0.64,4.05,6.3,"M"
"Tekken Tag Tournament","PS2",2000,"Fighting","Namco Bandai Games",1.68,1.51,0.51,0.35,4.05,8.5,"T"
"Far Cry 4","PS4",2014,"Shooter","Ubisoft",1.13,2.18,0.1,0.63,4.04,7.7,"M"
"Left 4 Dead 2","X360",2009,"Shooter","Electronic Arts",2.67,0.87,0.05,0.38,3.97,8.6,"M"
"The Witcher 3: Wild Hunt","PS4",2015,"Role-Playing","Namco Bandai Games",1.02,2.13,0.23,0.59,3.97,9.2,"M"
"Assassin's Creed: Unity","PS4",2014,"Action","Ubisoft",1.19,2.07,0.08,0.62,3.96,4.9,"M"
"Batman: Arkham Knight","PS4",2015,"Action","Warner Bros. Interactive Entertainment",1.53,1.69,0.1,0.64,3.95,7.6,"M"
"The Legend of Zelda: Skyward Sword","Wii",2011,"Action","Nintendo",2.03,1.16,0.37,0.38,3.95,8,"E10+"
"Fallout 3","PS3",2008,"Role-Playing","Bethesda Softworks",2.15,1.13,0.07,0.59,3.94,8,"M"
"Professor Layton and the Diabolical Box","DS",2007,"Puzzle","Nintendo",0.9,1.76,0.92,0.37,3.94,8.8,"E10+"
"EA Sports Active","Wii",2009,"Sports","Electronic Arts",2.09,1.35,0.06,0.4,3.9,8.7,"E"
"Tony Hawk's Underground","PS2",2003,"Sports","Activision",2.29,1.17,0.01,0.42,3.9,8.7,"T"
"Monster Hunter 4 Ultimate","3DS",2014,"Role-Playing","Nintendo",0.68,0.48,2.62,0.11,3.89,8.7,"T"
"The Elder Scrolls V: Skyrim","PC",2011,"Role-Playing","Bethesda Softworks",1.16,2.12,0,0.6,3.88,8.1,"M"
"NBA 2K16","PS4",2015,"Sports","Take-Two Interactive",2.49,0.66,0.03,0.69,3.88,6.7,"E10+"
"Tekken 5","PS2",2005,"Fighting","Namco Bandai Games",0.93,1.94,0.31,0.7,3.87,8.6,"T"
"MotorStorm","PS3",2006,"Racing","Sony Computer Entertainment",1.53,1.6,0.06,0.67,3.87,7.4,"T"
"World Soccer Winning Eleven 8 International","PS2",2004,"Sports","Konami Digital Entertainment",0.16,1.89,1.12,0.68,3.85,9.1,"E"
"Sports Champions","PS3",2010,"Sports","Sony Computer Entertainment",2.13,1.12,0.1,0.5,3.84,7.9,"E10+"
"Call of Duty: Ghosts","PS4",2013,"Shooter","Activision",1.78,1.43,0.05,0.57,3.83,3.7,"M"
"Flash Focus: Vision Training in Minutes a Day","DS",2007,"Misc","Nintendo",0.86,1.56,1.05,0.35,3.83,4,"E"
"Tom Clancy's The Division","PS4",2016,"Shooter","Ubisoft",1.35,1.7,0.15,0.6,3.8,7,"M"
"Big Brain Academy: Wii Degree","Wii",2007,"Misc","Nintendo",1.05,1.91,0.41,0.42,3.79,6.9,"E"
