"artist","album","song","popularity","duration_ms","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","genre"
"The Killers;Phoebe Bridgers","The Greatest Rock Tunes 2022","Runaway Horses - Abridged",0,204466,0.499,0.223,-15.253,0.0338,0.912,0,0.0962,0.304,129.291,"alt-rock"
"Red Hot Chili Peppers","Tek It - New Noise","Black Summer",1,232412,0.417,0.682,-5.071,0.0295,0.0267,0.000669,0.109,0.351,105.542,"alt-rock"
"The Killers","OO's Music Grandi Successi","When You Were Young",5,220413,0.441,0.976,-3.09,0.147,0.000335,0.0475,0.298,0.248,130.411,"alt-rock"
"Red Hot Chili Peppers","Top of the Rock","Nerve Flip",0,186148,0.386,0.936,-4.005,0.0701,0.0121,1.6e-05,0.266,0.418,176.366,"alt-rock"
"The Killers","Rock Workout 2023","Mr. Brightside",2,223973,0.344,0.931,-3.759,0.0783,0.00104,0,0.0903,0.251,148.104,"alt-rock"
"Nickelback","Timeless Rock Hits","Animals",3,185906,0.569,0.963,-3.069,0.0593,0.000787,0.0256,0.22,0.82,76.995,"alt-rock"
"Red Hot Chili Peppers","Daily Pop Mix","Tippa My Tongue",0,260808,0.573,0.913,-6.52,0.0409,0.00861,0.0273,0.114,0.795,88.418,"alt-rock"
"Red Hot Chili Peppers","Top of the Rock","Black Summer",3,232412,0.417,0.682,-5.071,0.0295,0.0267,0.000669,0.109,0.351,105.542,"alt-rock"
"The Killers","Mirando las nubes","Mr. Brightside",0,223973,0.344,0.931,-3.759,0.0783,0.00104,0,0.0903,0.251,148.104,"alt-rock"
"Weezer","Tek It - New Noise","Records",0,208920,0.658,0.773,-5.119,0.0244,0.000901,0,0.194,0.66,100.006,"alt-rock"
"The Killers;Armin van Buuren;Benno De Goeij","Beats Electro Mood","Human - Armin van Buuren Dub Remix",1,445000,0.64,0.821,-5.789,0.0732,0.00122,0.145,0.203,0.624,135.478,"alt-rock"
"The Killers","Kick It","Mr. Brightside",1,223973,0.344,0.931,-3.759,0.0783,0.00104,0,0.0903,0.251,148.104,"alt-rock"
"The Killers","Rock Workout 2023","Somebody Told Me",0,200946,0.508,0.981,-3.23,0.0779,8.22e-05,0.000449,0.0555,0.746,138.011,"alt-rock"
"Red Hot Chili Peppers","Kick It","Fire - Remastered",1,123800,0.421,0.986,-1.795,0.152,0.00482,0,0.295,0.263,105.83,"alt-rock"
"Deftones","Metal Lives!","Ohms",0,250222,0.112,0.978,-2.64,0.117,0.000108,0.0241,0.117,0.371,173.097,"alt-rock"
"Deftones","Metal","Ohms",0,250222,0.112,0.978,-2.64,0.117,0.000108,0.0241,0.117,0.371,173.097,"alt-rock"
"Red Hot Chili Peppers","80s Bangers Vol. 2","Higher Ground - Remastered",1,202053,0.476,0.979,-3.504,0.133,0.00142,0.00686,0.0944,0.394,140.408,"alt-rock"
"Red Hot Chili Peppers","Pop Hits Now","Black Summer",0,232412,0.417,0.682,-5.071,0.0295,0.0267,0.000669,0.109,0.351,105.542,"alt-rock"
"The Killers;Toni Halliday","Rock n Roll Christmas","A Great Big Sled",0,262586,0.532,0.872,-3.869,0.0636,0.00223,0,0.283,0.299,127.959,"alt-rock"
"The Killers;Ryan Pardey","Home For Christmas 2022","Don't Shoot Me Santa",0,245106,0.588,0.847,-4.164,0.0705,0.0601,0,0.307,0.662,120.041,"alt-rock"
"The Killers;Ryan Pardey","Rock n Roll Christmas","Don't Shoot Me Santa",0,245106,0.588,0.847,-4.164,0.0705,0.0601,0,0.307,0.662,120.041,"alt-rock"
"The Killers;Ryan Pardey","Home At Christmas","Don't Shoot Me Santa",0,245106,0.588,0.847,-4.164,0.0705,0.0601,0,0.307,0.662,120.041,"alt-rock"
"Weezer;AJR","All Out Alternative","All My Favorite Songs",0,170720,0.605,0.7,-6.47,0.0277,0.00998,0,0.116,0.588,84.962,"alt-rock"
"The Killers;Toni Halliday","Alternative Christmas 2022","A Great Big Sled",0,262586,0.532,0.872,-3.869,0.0636,0.00223,0,0.283,0.299,127.959,"alt-rock"
"Red Hot Chili Peppers","20's Rock","Black Summer",0,232412,0.417,0.682,-5.071,0.0295,0.0267,0.000669,0.109,0.351,105.542,"alt-rock"
"The Killers","Alternative Christmas 2022","Joy Ride - Night Version",0,436413,0.666,0.935,-4.563,0.0445,0.00285,0.781,0.352,0.69,118.999,"alt-rock"
"The Killers;Ryan Pardey","Alternative Christmas 2022","Don't Shoot Me Santa",0,245106,0.588,0.847,-4.164,0.0705,0.0601,0,0.307,0.662,120.041,"alt-rock"
"Julieta Venegas","Éxitos del Pop en Español de los Años 2000","Limón y Sal",0,205213,0.625,0.653,-5.967,0.0257,0.124,0,0.346,0.605,110.972,"alt-rock"
"The Killers;Ryan Pardey","Alternative Christmas 2022","Don't Shoot Me Santa",0,245106,0.588,0.847,-4.164,0.0705,0.0601,0,0.307,0.662,120.041,"alt-rock"
"The Offspring","Alternative Christmas 2022","Christmas (Baby Please Come Home)",0,187355,0.437,0.878,-4.687,0.0452,0.0112,0,0.126,0.623,128.043,"alt-rock"
"Red Hot Chili Peppers","Alternative Rock Mixtape","By the Way",2,215666,0.441,0.986,-2.466,0.116,0.038,0.000781,0.0998,0.184,123.974,"alt-rock"
"The Killers;Ryan Pardey","Christmas Rock 2022","Don't Shoot Me Santa",0,245106,0.588,0.847,-4.164,0.0705,0.0601,0,0.307,0.662,120.041,"alt-rock"
"The Neighbourhood;Syd","Daddy Issues (Remix) feat. Syd","Daddy Issues (Remix) feat. Syd",75,181186,0.623,0.533,-8.164,0.0653,0.245,0.00717,0.112,0.247,84.982,"alt-rock"
"The Neighbourhood","Hard To Imagine The Neighbourhood Ever Changing","Reflections",80,244013,0.648,0.594,-7.027,0.0293,0.114,0.0462,0.116,0.544,113.983,"alt-rock"
"The 1975","I like it when you sleep, for you are so beautiful yet so unaware of it","Somebody Else",73,347525,0.618,0.793,-5.711,0.0601,0.204,0.0154,0.126,0.459,101.015,"alt-rock"
"Radiohead","Pablo Honey","Creep",85,238640,0.515,0.43,-9.935,0.0372,0.0097,0.000133,0.129,0.104,91.844,"alt-rock"
"Hoobastank","The Reason (15th Anniversary Deluxe)","The Reason",81,232800,0.472,0.671,-4.649,0.029,0.0129,0,0.159,0.0681,82.952,"alt-rock"
"Radiohead","OK Computer","No Surprises",82,229120,0.255,0.393,-10.654,0.0278,0.0577,0.00361,0.113,0.118,76.426,"alt-rock"
"The Score","ATLAS","Legend",71,189120,0.601,0.757,-3.341,0.028,0.0139,8.85e-05,0.0727,0.462,82.001,"alt-rock"
"The White Stripes","Elephant","Seven Nation Army",84,232106,0.743,0.446,-7.807,0.0683,0.0039,0.118,0.337,0.278,123.596,"alt-rock"
"Thousand Foot Krutch","The End Is Where We Begin","Courtesy Call",72,236898,0.531,0.638,-5.145,0.0809,0.00409,0,0.0822,0.445,164.079,"alt-rock"
"Dominic Fike;Zendaya","Autumn Vibe","Elliot’s Song - From ""Euphoria"" An HBO Original Series",1,152144,0.341,0.266,-17.251,0.146,0.831,0,0.113,0.388,184.14,"alt-rock"
"R.E.M.","90's Music Grandi Successi","Losing My Religion",0,268426,0.666,0.854,-5.051,0.0295,0.179,1.2e-06,0.0986,0.803,125.637,"alt-rock"
"Zoé","noches de lluvia","Azul",0,194506,0.511,0.714,-6.414,0.0368,0.0504,0.56,0.105,0.521,98.008,"alt-rock"
"Skillet","Rock - Best of 2022","Surviving the Game",4,238870,0.535,0.979,-3.593,0.0597,0.000666,0,0.084,0.432,103.996,"alt-rock"
"Weezer","Rock - Best of 2022","Records",4,208920,0.658,0.773,-5.119,0.0244,0.000901,0,0.194,0.66,100.006,"alt-rock"
"Weezer","Los Clásicos del Pop 90s","Say It Ain't So",1,258825,0.635,0.551,-7.136,0.0354,0.00743,1.82e-05,0.07,0.451,151.779,"alt-rock"
"Weezer","90's Music Grandi Successi","Say It Ain't So",2,258825,0.635,0.551,-7.136,0.0354,0.00743,1.82e-05,0.07,0.451,151.779,"alt-rock"
"Weezer","Fishing Music","Say It Ain't So",0,258825,0.635,0.551,-7.136,0.0354,0.00743,1.82e-05,0.07,0.451,151.779,"alt-rock"
"Weezer","Rock Brandneu","Records",0,208920,0.658,0.773,-5.119,0.0244,0.000901,0,0.194,0.66,100.006,"alt-rock"
"Weezer","90's Music Grandi Successi","Buddy Holly",0,159226,0.555,0.921,-4.606,0.0369,0.00264,0.000205,0.117,0.775,121.141,"alt-rock"
"Weezer","Rock Workout 2023","Buddy Holly",2,159226,0.555,0.921,-4.606,0.0369,0.00264,0.000205,0.117,0.775,121.141,"alt-rock"
"Zoé","Alternativo diferente latino","Labios Rotos - En Vivo",0,244866,0.582,0.755,-7.305,0.0288,0.0632,0.00658,0.931,0.311,109.061,"alt-rock"
"Weezer","Mirando las nubes","Island In The Sun",1,200053,0.654,0.794,-6.288,0.0284,0.00769,0.00134,0.165,0.678,114.62,"alt-rock"
"Weezer","Emo Christmas 2022","O Come All Ye Faithful",0,124653,0.516,0.818,-6.076,0.0393,0.00701,0,0.337,0.769,121.907,"alt-rock"
"Weezer;AJR","Here to Forever - All New Indie","All My Favorite Songs",0,170720,0.605,0.7,-6.47,0.0277,0.00998,0,0.116,0.588,84.962,"alt-rock"
"Skillet","Rock Brandneu","Surviving the Game",0,238870,0.535,0.979,-3.593,0.0597,0.000666,0,0.084,0.432,103.996,"alt-rock"
"Skillet","Metal Lives!","Feel Invincible",0,229933,0.603,0.886,-3.777,0.0837,0.00045,0,0.26,0.395,126.027,"alt-rock"
"Skillet","Metal","Feel Invincible",0,229933,0.603,0.886,-3.777,0.0837,0.00045,0,0.26,0.395,126.027,"alt-rock"
"The Smashing Pumpkins","Rock & Halloween","Bullet With Butterfly Wings - Remastered 2012",2,257812,0.395,0.751,-8.547,0.0618,5.71e-05,0.838,0.0725,0.455,121.561,"alt-rock"
"Weezer","Top of the Rock","Records",0,208920,0.658,0.773,-5.119,0.0244,0.000901,0,0.194,0.66,100.006,"alt-rock"
"Weezer","Alternative Christmas 2022","O Holy Night",0,244306,0.173,0.609,-7.724,0.0482,0.359,0,0.1,0.0988,197.819,"alt-rock"
"Weezer","Fiesta temática 90s","My Name Is Jonas",1,206120,0.261,0.947,-3.031,0.0487,0.000193,0.00326,0.31,0.552,185.942,"alt-rock"
"Zoé","tardes tranqui","Arrullo De Estrellas",0,252986,0.462,0.765,-7.011,0.036,0.324,0.231,0.0757,0.399,81.513,"alt-rock"
"The Smashing Pumpkins","Alternative Christmas 2022","Christmastime",0,196723,0.165,0.434,-8.163,0.0288,0.316,0.171,0.213,0.186,77.983,"alt-rock"
"Weezer","Rock n Roll Christmas","O Come All Ye Faithful",0,124653,0.516,0.818,-6.076,0.0393,0.00701,0,0.337,0.769,121.907,"alt-rock"
"R.E.M.","90's Music Grandi Successi","It's The End Of The World As We Know It (And I Feel Fine)",0,246933,0.381,0.894,-8.638,0.037,0.0258,0,0.0251,0.797,205.528,"alt-rock"
"The Smashing Pumpkins","Alternative Christmas 2022","Christmastime",0,196723,0.165,0.434,-8.163,0.0288,0.316,0.171,0.213,0.186,77.983,"alt-rock"
"Los Enanitos Verdes","Triste Hora","Lamento Boliviano",0,222226,0.714,0.734,-7.125,0.0306,0.176,0.000618,0.115,0.68,123.57,"alt-rock"
"R.E.M.","80s Bangers Vol. 2","It's The End Of The World As We Know It (And I Feel Fine)",0,246933,0.381,0.894,-8.638,0.037,0.0258,0,0.0251,0.797,205.528,"alt-rock"
"Korn","Metal","Rotting in Vain",0,213000,0.498,0.946,-4.792,0.0602,0.000121,2.53e-05,0.359,0.31,106.276,"alt-rock"
"Korn","Metal Lives!","Rotting in Vain",0,213000,0.498,0.946,-4.792,0.0602,0.000121,2.53e-05,0.359,0.31,106.276,"alt-rock"
"Skillet","Top of the Rock","Surviving the Game",0,238870,0.535,0.979,-3.593,0.0597,0.000666,0,0.084,0.432,103.996,"alt-rock"
"Weezer","Rock n Roll Christmas","We Wish You A Merry Christmas",0,84973,0.387,0.786,-4.127,0.0436,0.0195,0,0.123,0.462,149.806,"alt-rock"
"Weezer","Christmas Rock 2022","O Come All Ye Faithful",0,124653,0.516,0.818,-6.076,0.0393,0.00701,0,0.337,0.769,121.907,"alt-rock"
"Weezer","Alternative Christmas 2022","We Wish You A Merry Christmas",0,84973,0.387,0.786,-4.127,0.0436,0.0195,0,0.123,0.462,149.806,"alt-rock"
"Weezer","Alternative Christmas 2022","We Wish You A Merry Christmas",0,84973,0.387,0.786,-4.127,0.0436,0.0195,0,0.123,0.462,149.806,"alt-rock"
"Los Enanitos Verdes","Triste Hora","Igual Que Ayer",0,290160,0.62,0.788,-8.646,0.0276,0.018,0,0.369,0.856,137.129,"alt-rock"
"Los Enanitos Verdes","Triste Hora","Mi Primer Dia Sin Ti",0,270640,0.522,0.639,-5.553,0.0246,0.129,0,0.185,0.437,83.377,"alt-rock"
"Zoé","Alternativo diferente latino","Poli / Love - En Vivo",0,256359,0.553,0.722,-7.794,0.0327,0.101,2.83e-05,0.958,0.257,91.267,"alt-rock"
"Weezer","Christmas Rock 2022","We Wish You A Merry Christmas",0,84973,0.387,0.786,-4.127,0.0436,0.0195,0,0.123,0.462,149.806,"alt-rock"
"Los Enanitos Verdes","Triste Hora","Eterna Soledad",0,174160,0.558,0.403,-8.968,0.0245,0.328,0,0.171,0.148,81.661,"alt-rock"
"The Neighbourhood","Wiped Out!","The Beach",78,255133,0.245,0.64,-7.426,0.0608,0.131,8.11e-06,0.0766,0.105,135.739,"alt-rock"
"The Neighbourhood","Chip Chrome & The Mono-Tones (Deluxe)","Stargazing",76,217026,0.512,0.483,-7.798,0.0298,0.00304,0.0011,0.12,0.367,160.009,"alt-rock"
"Fitz and The Tantrums","Out of My League","Out of My League",68,209386,0.545,0.968,-3.553,0.0853,0.0387,0.00325,0.331,0.527,169.965,"alt-rock"
"The 1975","The 1975","Robbers",71,254509,0.621,0.692,-6.858,0.0291,0.000363,1.75e-05,0.335,0.381,99.806,"alt-rock"
"The 1975","I'm In Love With You","I'm In Love With You",78,262623,0.668,0.902,-3.924,0.0386,0.169,8.74e-05,0.198,0.913,119.008,"alt-rock"
"Red Hot Chili Peppers","Californication (Deluxe Edition)","Californication",82,329733,0.592,0.767,-2.788,0.027,0.0021,0.00165,0.127,0.328,96.483,"alt-rock"
"The Killers","Hot Fuss","Mr. Brightside",86,222973,0.352,0.911,-5.23,0.0747,0.00121,0,0.0995,0.236,148.033,"alt-rock"
"The Score","Pressure","Born For This",65,234013,0.631,0.684,-6.27,0.0405,0.0576,0,0.0938,0.528,129.974,"alt-rock"
"Nirvana","Nevermind (Remastered)","Come As You Are",79,218920,0.5,0.824,-5.846,0.0388,0.00016,0.00161,0.0916,0.539,120.125,"alt-rock"
"Red Hot Chili Peppers","Stadium Arcadium","Snow (Hey Oh)",80,334666,0.427,0.9,-3.674,0.0499,0.116,1.75e-05,0.119,0.599,104.655,"alt-rock"
"Skillet","Awake","Monster",77,178013,0.64,0.957,-2.336,0.0741,0.0431,0,0.0789,0.692,134.992,"alt-rock"
"The Score","ATLAS","Revolution",67,231986,0.574,0.833,-6.239,0.0563,0.0611,0,0.105,0.574,86.008,"alt-rock"
"Ashes Remain","What I've Become","On My Own",69,172960,0.361,0.871,-4.313,0.0393,0.0119,0,0.318,0.575,176.026,"alt-rock"
"3 Doors Down","Emo Christmas 2022","It's Not My Time - Acoustic",0,238373,0.674,0.58,-8.081,0.0312,0.311,2.41e-05,0.198,0.305,128.003,"alt-rock"
"X Ambassadors;Jensen McRae","The Greatest Rock Tunes 2022","skip.that.party",0,231532,0.376,0.586,-7.165,0.0434,0.0131,0.00061,0.0641,0.171,149.734,"alt-rock"
"Counting Crows","Fiesta temática 90s","Mr. Jones",0,272733,0.571,0.836,-5.556,0.0371,0.194,4.09e-06,0.182,0.73,141.612,"alt-rock"
"Counting Crows","Alternative Christmas 2022","A Long December",0,297293,0.403,0.59,-5.941,0.0284,0.508,0.00548,0.272,0.393,141.649,"alt-rock"
"Andrés Calamaro;Alejandro Sanz","Pañuelos al viento","Flaca",0,226858,0.739,0.48,-10.82,0.0263,0.718,0.00292,0.0768,0.758,105.029,"alt-rock"
"3 Doors Down","Обратно в клас - rock","Here Without You",0,238560,0.556,0.545,-6.768,0.0255,0.0635,0,0.124,0.193,143.991,"alt-rock"
"Andrés Calamaro;Sebastian Yatra;Leiva;Ivan Ferreiro","Pañuelos al viento","Paloma",2,285024,0.727,0.382,-9.145,0.0314,0.809,0,0.0998,0.828,115.003,"alt-rock"
"3 Doors Down","Fishing Music","Kryptonite",0,234626,0.544,0.848,-6.804,0.0288,0.00395,5.22e-05,0.134,0.489,99.039,"alt-rock"
"3 Doors Down","Rock Workout 2023","Kryptonite",1,234626,0.544,0.848,-6.804,0.0288,0.00395,5.22e-05,0.134,0.489,99.039,"alt-rock"
"Counting Crows","Christmas Rock 2022","A Long December",0,297293,0.403,0.59,-5.941,0.0284,0.508,0.00548,0.272,0.393,141.649,"alt-rock"
"Counting Crows","Fiesta temática 90s","Hanginaround",0,252720,0.514,0.781,-6.703,0.0639,0.248,0,0.731,0.717,90.522,"alt-rock"
"Counting Crows","Los Clásicos del Pop 90s","Mr. Jones",0,272733,0.571,0.836,-5.556,0.0371,0.194,4.09e-06,0.182,0.73,141.612,"alt-rock"
"Counting Crows;Vanessa Carlton","OO's Music Grandi Successi","Big Yellow Taxi",1,226826,0.674,0.867,-4.329,0.0462,0.00199,0,0.206,0.821,88.04,"alt-rock"
"Counting Crows;Vanessa Carlton","Mirando las nubes","Big Yellow Taxi",0,226826,0.674,0.867,-4.329,0.0462,0.00199,0,0.206,0.821,88.04,"alt-rock"
"Megadeth","Halloween Metal Nights","The Sick, The Dying… And The Dead!",2,304053,0.303,0.976,-3.583,0.225,0.00266,0.135,0.0707,0.193,88.536,"alt-rock"
"Megadeth","Release Your ANGER","Symphony Of Destruction",0,246733,0.61,0.889,-5.452,0.0585,0.000794,0.0865,0.0657,0.506,139.903,"alt-rock"
"Volbeat","Halloween Spooky Party 2022","The Devil's Bleeding Crown",0,238653,0.321,0.909,-4.612,0.041,1.62e-05,0.139,0.0442,0.209,109.653,"alt-rock"
"Volbeat","Twisted Halloween Hits","The Devil's Bleeding Crown",0,238653,0.321,0.909,-4.612,0.041,1.62e-05,0.139,0.0442,0.209,109.653,"alt-rock"
"Volbeat","Halloween Party 2022","The Devil's Bleeding Crown",0,238653,0.321,0.909,-4.612,0.041,1.62e-05,0.139,0.0442,0.209,109.653,"alt-rock"
"Andrés Calamaro;Julio Iglesias","Música para casa","Bohemio",0,208004,0.784,0.461,-9.546,0.0314,0.662,5.9e-05,0.107,0.733,102.165,"alt-rock"
"Andrés Calamaro;Vicentico","Pañuelos al viento","Tuyo Siempre",1,171978,0.706,0.525,-8.879,0.0298,0.682,9.34e-05,0.175,0.73,89.945,"alt-rock"
"Megadeth","Halloween Metal Nights","Holy Wars...The Punishment Due - Remastered",2,392600,0.327,0.985,-3.941,0.151,0.00177,0.108,0.351,0.218,125.232,"alt-rock"
"The Black Keys","OK Boomers - Top Tunes","Keep My Name Outta Your Mouth",0,189356,0.597,0.702,-4.767,0.0445,0.0197,0.01,0.125,0.645,83.507,"alt-rock"
"Megadeth","Halloween Spooky Party 2022","Symphony Of Destruction",0,246733,0.61,0.889,-5.452,0.0585,0.000794,0.0865,0.0657,0.506,139.903,"alt-rock"
"Volbeat","Halloween Spooky Party 2022","Sorry Sack Of Bones",0,228666,0.407,0.954,-3.753,0.0532,0.000629,0.186,0.0545,0.454,171.988,"alt-rock"
"The Black Keys","Coffee Moment","Never Gonna Give You Up",0,218986,0.557,0.665,-6.19,0.0328,0.321,0.000281,0.0713,0.437,75.803,"alt-rock"
"Andrés Calamaro","Música para casa","Transito Lento",0,194080,0.704,0.533,-6.94,0.0315,0.587,1.64e-05,0.254,0.695,94.056,"alt-rock"
"Megadeth","Release Your ANGER","Holy Wars...The Punishment Due - Remastered",0,392600,0.327,0.985,-3.941,0.151,0.00177,0.108,0.351,0.218,125.232,"alt-rock"
"Queens of the Stone Age","Halloween Party 2022","Burn The Witch",0,217213,0.452,0.819,-4.394,0.0863,0.175,0.69,0.224,0.423,124.649,"alt-rock"
"Volbeat","Halloween Metal Nights","Heaven Nor Hell",1,322613,0.411,0.767,-4.211,0.056,0.000621,0.00842,0.134,0.659,134.408,"alt-rock"
"Andrés Calamaro","Música para casa","Cuarteles De Invierno",0,212440,0.488,0.627,-7.266,0.0295,0.429,0.000133,0.114,0.482,78.979,"alt-rock"
"Volbeat","Halloween Metal Nights","The Devil's Bleeding Crown",0,238653,0.321,0.909,-4.612,0.041,1.62e-05,0.139,0.0442,0.209,109.653,"alt-rock"
"Andrés Calamaro;Juanes;Niño Josele","Música para casa","Enganchate Conmigo",0,225616,0.682,0.646,-9.274,0.0667,0.576,2.13e-05,0.0978,0.785,87.891,"alt-rock"
"Andrés Calamaro;Carlos Vives","Pañuelos al viento","Algún Lugar Encontraré",0,254955,0.694,0.52,-8.758,0.0245,0.412,1.26e-06,0.137,0.52,108.06,"alt-rock"
"Andrés Calamaro","Rock x siempre","Miro Por La Ventana - Remastered 2017",0,177413,0.554,0.757,-8.653,0.0705,0.00543,0.0541,0.258,0.907,148.27,"alt-rock"
"Andrés Calamaro","Música para casa","Diego Armando Canciones",0,213946,0.32,0.515,-8.018,0.0412,0.373,1.74e-06,0.089,0.568,78.021,"alt-rock"
"Andrés Calamaro","Rock x siempre","Otro Amor En Avellaneda - Remastered 2017",0,144066,0.637,0.572,-6.913,0.107,0.113,0,0.0645,0.615,138.177,"alt-rock"
"The Neighbourhood","I Love You.","Afraid",77,251186,0.464,0.701,-5.693,0.0411,0.00892,0.309,0.335,0.356,83.996,"alt-rock"
"Bea Miller","feel something","feel something",71,180161,0.74,0.415,-8.914,0.0707,0.242,0.000156,0.319,0.156,136.029,"alt-rock"
"Hillsong UNITED;TAYA","Zion","Oceans (Where Feet May Fail)",71,536000,0.264,0.363,-10.196,0.0338,0.501,0.00406,0.11,0.0613,124.328,"alt-rock"
"The 1975","Being Funny In A Foreign Language","Oh Caroline",76,212568,0.646,0.85,-5.466,0.0428,0.363,4.01e-05,0.0994,0.819,96.538,"alt-rock"
"3 Doors Down","Away From The Sun","Here Without You",76,238733,0.557,0.533,-6.817,0.0252,0.0492,0,0.205,0.233,143.994,"alt-rock"
"Red Hot Chili Peppers","Stadium Arcadium","Snow (Hey Oh)",80,334666,0.427,0.9,-3.674,0.0499,0.116,1.75e-05,0.119,0.599,104.655,"alt-rock"
"X Ambassadors","VHS","Renegades",76,195200,0.526,0.862,-6.003,0.0905,0.0144,0.0597,0.229,0.528,90.052,"alt-rock"
"Skillet","Unleashed","Feel Invincible",72,229933,0.603,0.886,-3.777,0.0837,0.00045,0,0.26,0.395,126.025,"alt-rock"
"Yeah Yeah Yeahs;A-Trak","Halloween Hits","Heads Will Roll - A-Trak Remix",0,383893,0.738,0.607,-3.933,0.0845,0.00746,0.324,0.0699,0.78,131.982,"alt-rock"
"Duman","Best Viral Tunes","Her Şeyi Yak",0,270280,0.629,0.538,-6.79,0.0244,0.461,0,0.123,0.205,100.038,"alt-rock"
"Duman","Viral Şarkılar","Her Şeyi Yak",0,270280,0.629,0.538,-6.79,0.0244,0.461,0,0.123,0.205,100.038,"alt-rock"
"KALEO","It's You - Fresh Hits","Way Down We Go",2,213706,0.492,0.506,-8.022,0.118,0.58,0.00032,0.104,0.338,163.522,"alt-rock"
"KALEO","Relaxing Pop","Way Down We Go",1,213706,0.492,0.506,-8.022,0.118,0.58,0.00032,0.104,0.338,163.522,"alt-rock"
"Counting Crows","Rock n Roll Christmas","A Long December",0,297293,0.403,0.59,-5.941,0.0284,0.508,0.00548,0.272,0.393,141.649,"alt-rock"
"Yeah Yeah Yeahs;A-Trak","Twisted Halloween Hits","Heads Will Roll - A-Trak Remix",0,383893,0.738,0.607,-3.933,0.0845,0.00746,0.324,0.0699,0.78,131.982,"alt-rock"
"Marilyn Manson","TOKYO - HALLOWEEN -","アイ・プット・ア・スペル・オン・ユー",0,216735,0.611,0.801,-5.894,0.0733,0.00119,0.513,0.23,0.408,96.875,"alt-rock"
"Yeah Yeah Yeahs;A-Trak","Pumpkin Patch Hits","Heads Will Roll - A-Trak Remix",0,383893,0.738,0.607,-3.933,0.0845,0.00746,0.324,0.0699,0.78,131.982,"alt-rock"
"Yeah Yeah Yeahs;A-Trak","Halloween Party 2022","Heads Will Roll - A-Trak Remix",0,383893,0.738,0.607,-3.933,0.0845,0.00746,0.324,0.0699,0.78,131.982,"alt-rock"
"Counting Crows","Alternative Christmas 2022","A Long December",0,297293,0.403,0.59,-5.941,0.0284,0.508,0.00548,0.272,0.393,141.649,"alt-rock"
